#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-10-16T20:24:54 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5bc648c42111	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:IV/22&tab:{IV/22/index}&key:source=IV/22&HTTPPRM:&
#-c.eq=J2000
#-c.r=  360
#-c.u=deg
#-c.geom=r
#-source=IV/22/index
#-order=I
#-out=FK5
#-out=RAJ2000
#-out=DEJ2000
#-out=name
#

#RESOURCE=yCat_4022
#Name: IV/22
#Title: FK5 - SAO - HD - Common Name Cross Index (Smith 1996)
#Table	IV_22_index:
#Name: IV/22/index
#Title: The catalog
#Column	FK5	(I4)	The FK5 number (Cat. I/149, I/175) (2)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A12)	Right Ascension hours (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	name	(a20)	Common name or variable name	[ucd=meta.id]
FK5|RAJ2000|DEJ2000|name
1492|18 46 43.077|+52 59 16.81|
1491|18 47 01.266|+18 10 53.39|
1489|18 47 10.480|-04 44 52.36|
1490|18 48 50.492|-43 40 48.25|
 705|18 50 04.800|+33 21 45.65|SHELIAK
1493|18 50 50.485|-22 09 43.83|
 707|18 51 12.083|+59 23 18.13|
 704|18 52 13.008|-62 11 15.36|
 714|18 54 23.851|+71 17 49.92|
 922|18 54 46.934|-87 36 21.21|
 706|18 55 15.924|-26 17 48.23|NUNKI
 711|18 55 20.111|+43 56 45.99|R LYRAE
1495|18 55 31.012|-16 22 35.98|
 709|18 56 13.190|+04 12 12.91|ALYA
 710|18 57 43.797|-21 06 23.97|
 708|18 58 27.748|-52 56 19.14|
 713|18 58 56.621|+32 41 22.42|SULAFAT
 712|18 59 37.362|+15 04 05.80|
 716|19 05 24.611|+13 51 48.43|
 717|19 06 14.941|-04 52 57.14|
1497|19 06 35.127|-01 20 46.08|
1498|19 06 37.735|+28 37 42.95|
1496|19 06 56.415|-27 40 13.57|
 719|19 07 18.127|+36 06 00.61|
 718|19 09 28.336|-37 54 16.22|
 720|19 09 45.836|-21 01 25.06|
 723|19 12 33.285|+67 39 41.57|ALTAIS
1500|19 12 40.717|-07 56 22.30|
 729|19 15 33.004|+73 21 19.65|
 724|19 16 22.094|+38 08 01.46|
1499|19 16 22.294|-75 48 00.32|
 726|19 17 06.154|+53 22 06.54|
 722|19 17 38.079|-18 57 10.72|
 725|19 17 49.003|+11 35 43.49|
1501|19 19 39.996|-35 25 17.34|
 734|19 21 40.170|+79 36 09.88|
 727|19 21 43.626|-15 57 18.09|
1502|19 22 38.296|-44 27 32.29|ARKAB
 728|19 23 53.168|-40 36 57.58|RUKBAT
1503|19 24 58.203|+11 56 39.83|
 730|19 25 29.904|+03 06 53.17|
1507|19 25 46.739|+58 01 38.46|
1506|19 25 56.618|+44 55 50.74|
1505|19 26 28.678|+19 53 29.39|
 731|19 26 56.484|-29 44 35.54|
1504|19 27 48.113|-54 19 30.96|
1508|19 28 42.333|+24 39 53.66|
 733|19 29 42.349|+51 43 47.26|
1509|19 30 39.839|-02 47 19.96|
 732|19 30 43.301|+27 57 34.83|ALBIREO
1510|19 31 46.317|+34 27 10.73|
1511|19 34 05.363|+07 22 44.17|
 735|19 35 12.984|-48 05 57.24|
 738|19 36 26.496|+50 13 15.80|
 736|19 36 42.433|-24 53 00.95|
 737|19 36 53.456|-07 01 38.98|
1512|19 40 43.389|-16 17 35.66|
1513|19 41 02.943|+17 28 33.74|
1514|19 42 31.135|-16 07 26.43|
1515|19 43 42.927|+25 46 18.94|
 740|19 44 16.608|+37 21 15.64|
1516|19 46 01.221|-31 54 30.94|
 741|19 46 15.585|+10 36 47.77|TARAZED
1517|19 46 21.739|-19 45 40.01|
 743|19 47 23.270|+18 32 03.34|
 739|19 48 01.180|-56 21 45.42|
 744|19 50 46.794|-10 45 48.62|
 745|19 50 47.002|+08 52 06.03|ALTAIR
 746|19 52 28.374|+01 00 20.37|
1519|19 53 18.742|-03 06 52.08|
1518|19 54 40.437|-61 10 14.81|
1520|19 55 15.691|-41 52 06.05|
 749|19 55 18.799|+06 24 24.29|ALSHAIN
1667|19 56 01.516|-81 20 59.45|
1521|19 56 18.376|+35 05 00.34|
1522|19 57 57.031|-15 29 29.43|
 752|19 58 45.428|+19 29 31.79|
1647|19 59 19.927|+84 40 07.06|
 751|19 59 44.180|-35 16 34.74|
 748|20 00 35.499|-72 54 37.82|
1523|20 01 06.050|+27 45 12.92|
 753|20 02 39.493|-27 42 35.40|
1524|20 04 08.319|+07 16 40.58|
 755|20 07 23.153|-52 52 50.89|
 754|20 08 43.581|-66 10 55.45|
 759|20 08 53.334|+77 42 41.04|
1525|20 09 25.623|+36 50 22.66|
 756|20 11 18.287|-00 49 17.30|
 758|20 13 23.869|+56 34 03.87|
 757|20 13 37.904|+46 44 28.87|V695 CYG
1526|20 14 16.627|+15 11 51.25|
 760|20 16 47.088|+24 40 15.90|
1527|20 17 38.871|-12 30 29.50|
1529|20 18 01.399|-21 48 35.94|
 761|20 18 03.262|-12 32 41.43|ALGEDI
1528|20 18 55.968|-47 42 38.81|
1530|20 20 51.896|-35 40 25.39|
 762|20 21 00.673|-14 46 52.99|DABIH
 765|20 22 13.704|+40 15 24.14|SADR
 763|20 22 27.510|-42 02 58.58|
1531|20 23 10.695|+05 20 34.70|
1532|20 25 26.836|-28 39 47.70|
 764|20 25 38.852|-56 44 06.38|PEACOCK
1535|20 29 20.396|+36 27 17.11|
1534|20 29 23.736|+30 22 06.84|
 767|20 29 34.883|+62 59 38.73|
1533|20 29 39.003|-02 53 07.86|
1538|20 30 00.704|+72 31 54.19|
 770|20 31 30.417|+74 57 16.66|AF DRA
1536|20 32 23.697|-09 51 12.27|
 768|20 33 12.781|+11 18 11.81|
1537|20 33 59.931|+04 53 55.16|
 769|20 37 34.044|-47 17 29.41|
1539|20 38 31.332|+21 12 04.36|
 772|20 39 07.783|+10 05 10.41|
 774|20 39 38.293|+15 54 43.29|
 773|20 40 02.950|-18 08 19.20|
1540|20 40 19.837|-33 25 54.68|
 777|20 41 25.917|+45 16 49.31|DENEB
1668|20 42 33.714|-84 24 25.67|
 915|20 42 35.201|+82 31 52.33|
 778|20 43 27.538|+15 04 28.42|
 776|20 44 02.341|-51 55 15.78|
 775|20 44 57.470|-66 12 11.44|
 783|20 45 17.379|+61 50 19.65|
 782|20 45 21.121|+57 34 47.06|
 779|20 46 05.742|-25 16 15.28|
 780|20 46 12.684|+33 58 12.92|
1544|20 46 21.203|+52 59 43.09|
1541|20 46 39.499|+16 07 27.43|
 781|20 47 40.559|-09 29 44.74|ALBALI
1543|20 47 44.243|-05 01 39.75|
1542|20 48 29.160|-43 59 18.64|
1545|20 49 17.239|-00 33 47.95|
1546|20 51 49.300|-26 55 08.92|
1547|20 52 39.237|-08 58 59.93|
 786|20 54 33.637|+28 03 27.47|
 785|20 54 48.583|-58 27 15.01|
 788|20 57 10.418|+41 10 01.88|
1548|20 57 40.649|-16 01 53.61|
1549|20 58 16.351|+22 19 33.27|
1551|20 59 49.553|+47 31 15.54|V832 CYG
 789|21 00 33.843|-04 43 48.88|
1550|21 01 17.465|-32 15 27.93|
 790|21 02 57.951|-38 37 53.54|
 787|21 04 42.984|-77 01 25.52|
 792|21 04 55.864|+43 55 40.28|
 795|21 05 29.287|+78 07 35.02|
1552|21 05 56.834|-17 13 58.22|
1553|21 06 33.427|-00 06 18.13|
 793|21 06 54.592|+38 44 44.99|
 791|21 07 07.682|-25 00 21.04|
 923|21 08 46.202|-88 57 23.38|
 794|21 09 35.654|-11 22 18.12|
1555|21 10 20.518|+10 07 53.57|
 797|21 12 56.185|+30 13 37.06|
1556|21 13 17.341|-27 37 09.69|
1554|21 13 20.485|-70 07 34.80|
 796|21 15 45.859|-53 15 47.22|
 800|21 15 49.439|+05 14 52.25|KITALPHA
1558|21 17 24.953|+39 23 40.87|
1557|21 17 52.543|-48 43 05.71|
1559|21 17 55.078|+34 53 48.68|
 801|21 17 56.295|-32 10 21.27|
 803|21 18 34.769|+62 35 08.08|ALDERAMIN
1560|21 19 40.774|+53 03 29.23|
 802|21 20 45.636|-40 48 34.53|
 804|21 22 05.198|+19 48 16.26|
1561|21 22 14.803|-16 50 04.48|
1562|21 24 11.499|-12 52 41.27|
1563|21 26 15.439|-54 39 37.83|
 805|21 26 26.596|-65 21 58.43|
 806|21 26 40.034|-22 24 40.81|
1564|21 28 24.848|+08 11 44.28|
 809|21 28 39.600|+70 33 38.61|ALFIRK
 807|21 29 26.957|+46 32 26.15|
1565|21 29 56.896|+23 38 19.84|
 808|21 31 33.538|-05 34 16.25|SADALSUUD
1566|21 32 14.587|-33 56 40.72|
1567|21 33 23.528|-44 50 55.46|
1568|21 33 58.855|+45 35 30.63|
 811|21 36 56.976|+40 24 48.76|
1569|21 37 45.113|-07 51 15.21|
1570|21 37 45.434|+19 19 06.90|
 813|21 38 57.626|+57 29 20.62|
 812|21 40 05.457|-16 39 44.40|NASHIRA
 810|21 41 28.548|-77 23 24.18|
 817|21 41 55.296|+71 18 41.24|
 815|21 44 11.164|+09 52 29.92|ENIF
 814|21 44 56.817|-33 01 32.87|
1572|21 45 26.930|+61 07 14.87|
1571|21 45 44.520|+35 51 26.37|
 818|21 46 32.104|-11 21 57.37|
 821|21 46 47.610|+49 18 34.46|
 819|21 47 02.448|-16 07 38.27|DENEB ALGEDI
1574|21 47 13.971|+02 41 10.02|
1573|21 48 15.758|-47 18 13.18|
1575|21 49 50.693|+30 10 27.15|
 820|21 50 47.148|-69 37 46.07|
1576|21 51 24.621|-23 16 14.31|
1578|21 52 46.942|+73 42 08.25|
 823|21 53 03.766|+25 55 30.44|
1577|21 53 17.778|-13 33 06.44|
 822|21 53 55.730|-37 21 53.60|
1579|21 56 23.983|+21 14 23.46|
 824|21 57 55.080|-54 59 33.37|
1580|21 58 54.990|-04 22 23.30|
 826|22 01 05.355|+13 07 11.39|
 825|22 03 21.643|-56 47 09.58|
 830|22 05 00.505|+62 47 08.47|
 827|22 05 47.038|-00 19 11.47|SADALMELIK
1581|22 06 06.895|-39 32 36.05|
 828|22 06 26.229|-13 52 10.77|
 831|22 07 00.673|+25 20 42.32|
 829|22 08 14.000|-46 57 39.59|AL NA'IR
 832|22 08 23.019|-32 59 18.68|
 833|22 09 13.640|+33 10 20.44|
 837|22 09 48.429|+72 20 28.44|
 835|22 09 59.242|+33 10 41.53|
 834|22 10 11.987|+06 11 52.26|BIHAM
 836|22 10 51.285|+58 12 04.49|
1648|22 13 10.580|+86 06 28.68|
1583|22 13 52.734|+39 42 53.61|
 838|22 14 18.768|-27 46 00.92|
1582|22 14 38.230|-15 49 06.75|
 840|22 16 50.041|-07 46 59.91|ANCHA
 841|22 18 30.099|-60 15 34.59|
 839|22 20 01.497|-80 26 23.17|
 843|22 21 31.085|+12 12 18.68|
1584|22 21 35.580|-21 35 53.71|
 842|22 21 39.378|-01 23 14.44|SADACHBIA
 844|22 23 33.623|+52 13 44.60|
1585|22 25 16.627|+01 22 38.51|
1586|22 25 40.695|+18 26 39.53|
1587|22 28 37.657|-67 29 20.61|
 845|22 28 39.215|-39 07 54.59|
1588|22 29 07.998|+09 07 44.37|
1589|22 29 10.229|+26 45 47.48|
 847|22 29 10.266|+58 24 54.62|
 846|22 29 16.185|-43 29 44.13|
1593|22 29 52.939|+78 49 27.36|
1590|22 30 01.824|+32 34 21.47|
1591|22 30 38.824|-10 40 40.67|
 848|22 31 17.497|+50 16 57.05|
1592|22 31 30.347|-32 20 45.78|
1670|22 31 37.390|-85 58 02.30|
1594|22 32 16.200|+76 13 35.10|
 849|22 34 41.643|-20 42 29.55|
 850|22 35 21.384|-00 07 03.00|
 851|22 35 46.125|+73 38 35.48|
1595|22 37 45.385|-04 13 40.99|
 853|22 38 39.047|+63 35 03.96|
 852|22 39 15.685|+39 03 01.01|
 854|22 40 39.357|-27 02 37.04|
 855|22 41 27.731|+10 49 52.85|HOMAM
 856|22 42 40.063|-46 53 04.69|
 857|22 43 00.143|+30 13 16.52|MATAR
 858|22 44 05.487|+41 49 09.30|
1596|22 45 28.177|+19 21 59.59|
1669|22 45 28.562|-88 49 06.16|
 924|22 46 03.350|-81 22 53.91|
 859|22 46 31.883|+23 33 56.35|
1598|22 47 29.761|-01 47 19.64|
1597|22 47 33.130|-19 36 48.12|
 860|22 48 33.301|-51 19 00.74|
 861|22 49 35.506|-13 35 33.45|
 863|22 49 40.821|+66 12 01.51|
 862|22 50 00.201|+24 36 05.71|SADALBARI
1599|22 51 02.170|-39 09 24.79|
 864|22 52 36.862|-07 34 46.60|
1649|22 54 24.765|+84 20 46.49|
 866|22 54 39.017|-15 49 14.95|SKAT
 865|22 54 39.436|-70 04 25.46|
1600|22 55 02.647|+37 04 36.52|
 867|22 57 39.055|-29 37 20.10|FOMALHAUT
 868|23 00 52.808|-52 45 14.89|
 869|23 01 55.267|+42 19 33.50|
1601|23 03 29.818|-34 44 58.04|
 870|23 03 46.464|+28 04 58.10|SCHEAT
1602|23 03 52.617|+03 49 12.14|
 871|23 04 45.658|+15 12 18.90|MARKAB
1603|23 07 00.270|+09 24 34.09|
1604|23 07 45.391|+49 17 44.92|
 873|23 09 26.801|-21 10 20.63|
1605|23 10 21.554|-45 14 48.26|
1606|23 11 44.196|+08 43 12.38|
 875|23 13 16.978|+57 10 06.25|BRADLEY 3077
1607|23 14 19.361|-06 02 56.40|
1608|23 15 53.503|-09 05 15.85|
 876|23 16 57.664|-62 00 04.33|
 878|23 17 09.943|+03 16 56.18|
 877|23 17 25.767|-58 14 08.62|
 879|23 18 49.441|-32 31 55.17|
1609|23 18 57.685|-09 36 38.56|
 880|23 20 38.247|+23 44 25.25|
1610|23 20 53.269|+38 10 56.28|
1611|23 21 15.517|-26 59 12.43|
1612|23 22 58.226|-20 06 01.99|
 882|23 24 50.257|+62 16 58.11|
1613|23 24 50.836|+32 23 05.53|
 881|23 25 22.789|+23 24 14.81|
 883|23 26 36.580|-52 43 17.95|
 884|23 26 55.957|+01 15 20.07|
1614|23 27 58.104|+06 22 44.24|
 925|23 28 03.683|-87 28 56.19|
1615|23 29 02.219|+16 00 45.04|
 885|23 29 09.304|+12 45 38.01|
 886|23 32 58.262|-37 49 06.29|
1616|23 34 37.544|+40 14 11.23|
1617|23 35 04.565|-42 36 54.40|
 888|23 35 32.075|-07 27 51.99|
 890|23 37 33.854|+46 27 29.43|
 889|23 37 51.002|-45 29 32.56|
 891|23 38 08.211|+43 16 05.10|
 893|23 39 20.824|+77 37 56.80|ERRAI
 892|23 39 57.041|+05 37 34.56|
1619|23 40 24.519|+44 20 02.18|
1618|23 40 38.155|-32 04 23.31|
1620|23 42 02.810|+01 46 48.16|
 894|23 42 43.349|-14 32 41.64|
1621|23 44 12.083|-18 16 36.92|
1622|23 46 02.058|+46 25 13.10|
 895|23 47 54.759|+67 48 24.56|
1623|23 47 56.545|-02 45 41.76|
 896|23 48 55.562|-28 07 49.07|
1624|23 49 25.977|-21 36 50.37|
 897|23 50 14.736|-09 58 27.05|
 898|23 52 29.292|+19 07 12.96|
1625|23 52 37.100|+10 56 50.52|
 899|23 54 23.042|+57 29 57.88|
1626|23 54 38.618|-40 18 00.43|
1627|23 54 49.264|+74 24 36.27|
1650|23 56 27.723|+83 11 28.17|V CEP
1628|23 56 41.502|+22 38 53.16|
1629|23 57 45.535|+25 08 28.98|
 900|23 58 40.394|-03 33 21.58|
 901|23 58 55.766|-52 44 44.96|
 902|23 59 18.702|+06 51 47.82|
 903|23 59 54.974|-65 34 37.72|

